author_id,doc_id,lang,count
114,2032,Finnish,92
1680,4227,English,96
4264,11090,Finnish,108
1680,23260,French,141
4264,11091,French,282
114,2034,French,286
11012,28921,Finnish,147
7298,19253,Dutch,156
7298,19252,Finnish,165
4183,10830,Finnish,165
1492,3549,Dutch,183
3936,9928,Dutch,282
2559,6311,English,330
3936,9929,English,348
3783,9596,Finnish,354
2559,6310,Finnish,390
3783,9593,English,456
4183,10828,English,456
11012,28742,Dutch,471
1492,3547,English,507
1579,3777,French,357
1579,20277,English,390
1472,3391,English,426
1472,3405,French,462
