Sr.No.,authorID,docID,lang,count
1,176,279,Spanish,68
1,5732,16023,Spanish,69
1,1626,3875,Finnish,177
1,1416,3253,Finnish,198
1,121,196,Finnish,220
1,124,206,Spanish,224
1,6132,16197,Finnish,228
1,10439,28182,Finnish,228
1,124,935,Finnish,248
1,75,7997,Finnish,276
1,1626,3876,German,309
1,9147,23944,Spanish,327
1,8117,21305,German,351
1,3783,9596,Finnish,354
1,7236,19007,Finnish,366
1,6921,18314,German,422
1,1867,4786,Spanish,436
1,10151,26649,English,453
1,10543,27561,English,453
1,3783,9593,English,456
1,6132,17042,Spanish,468
1,5732,16028,English,489
1,6538,17211,Dutch,492
1,8117,21306,English,513
1,10543,27564,Spanish,543
1,1416,3489,German,552
1,1847,4400,English,560
1,1682,18214,English,582
1,176,281,English,592
1,6903,18265,Spanish,621
1,1430,3292,English,654
1,1085,2517,English,654
1,6921,19234,English,672
1,5694,28538,German,672
1,1488,3540,Dutch,678
1,1488,3541,English,681
1,4941,13661,Spanish,684
1,1682,3970,Finnish,687
1,8467,23505,English,690
1,10813,28117,English,702
1,1078,2502,German,714
1,1103,2549,German,726
1,75,7508,English,788
1,7236,19006,English,795
1,7381,19418,English,797
1,4941,12991,English,831
1,6903,18259,English,841
1,1416,3252,Dutch,855
1,10439,28199,Dutch,870
1,121,1308,English,882
1,10070,26466,Dutch,882
1,5929,15680,Finnish,893
1,5694,27883,English,897
1,6132,16215,English,945
1,8467,22028,French,951
1,2786,7039,English,999
1,1085,2516,Dutch,1014
1,4434,11558,German,1014
1,7381,19421,French,1017
1,6538,17212,English,1041
1,10302,26993,French,1047
1,1847,4401,French,1060
1,7329,20229,English,1065
1,1430,3293,Dutch,1071
1,10070,26463,English,1080
1,2786,7042,Finnish,1110
1,1867,4472,English,1140
1,8978,23478,German,1153
1,10813,28118,Dutch,1155
1,10151,26648,Dutch,1158
1,8978,23471,English,1165
1,10302,26984,English,1176
1,1103,2548,French,1185
1,1416,3479,English,1332
1,1416,3755,French,1389
1,1078,2506,English,1395
1,4434,11560,Dutch,1467
1,5929,15683,French,1485
1,7329,20241,Dutch,1503
1,1087,2520,English,1659
1,7329,20242,French,1665
1,8881,23098,English,1809
1,8881,24151,French,1853
1,1087,2705,French,1884
1,9147,23942,French,2166
