Sr.No.,authorID,docID,lang,count
1,114,2032,Finnish,92
1,1680,4227,English,96
1,4264,11090,Finnish,108
1,1680,23260,French,141
1,4264,11091,French,282
1,114,2034,French,286
1,1492,3549,Dutch,183
1,3936,9928,Dutch,282
1,3936,9929,English,348
1,1492,3547,English,507
1,176,279,Spanish,68
1,5732,16023,Spanish,69
1,1626,3875,Finnish,177
1,124,206,Spanish,224
1,124,935,Finnish,248
1,1228,2842,German,285
1,1228,2843,English,288
1,1626,3876,German,309
1,8117,21305,German,351
1,5732,16028,English,489
1,8117,21306,English,513
1,176,281,English,592
