Sr.No.,authorID,docID,lang,count
1,3385,8634,French,63
1,2413,6832,English,81
1,114,2032,Finnish,92
1,1680,4227,English,96
1,3731,9464,Finnish,102
1,4264,11090,Finnish,108
1,107,166,Dutch,102
1,787,1786,French,117
1,2413,6827,French,138
1,1680,23260,French,141
1,4783,12650,Dutch,111
1,4264,11091,French,282
1,114,2034,French,286
1,1090,2528,Dutch,120
1,3731,9470,English,300
1,5458,14479,Finnish,123
1,114,21567,English,652
1,1680,9551,Finnish,666
1,3805,10214,Finnish,141
1,3385,8633,English,690
1,3731,9468,French,768
1,787,1787,English,876
1,2187,5391,Dutch,147
1,11012,28921,Finnish,147
1,7298,19253,Dutch,156
1,1680,23256,Dutch,1902
1,7298,19252,Finnish,165
1,4183,10830,Finnish,165
1,535,1161,Dutch,171
1,5016,13214,Dutch,177
1,1492,3549,Dutch,183
1,2931,7492,Dutch,189
1,1416,3253,Finnish,198
1,121,196,Finnish,220
1,8358,22834,Finnish,225
1,6132,16197,Finnish,228
1,4044,10475,Dutch,249
1,75,7997,Finnish,276
1,3936,9928,Dutch,282
1,2931,7486,English,309
1,2559,6311,English,330
1,3936,9929,English,348
1,3783,9596,Finnish,354
1,7236,19007,Finnish,366
1,2559,6310,Finnish,390
1,3263,8269,English,414
1,10151,26649,English,453
1,3783,9593,English,456
1,4183,10828,English,456
1,11012,28742,Dutch,471
1,6538,17211,Dutch,492
1,1492,3547,English,507
1,10578,27631,English,558
1,1847,4400,English,560
1,3805,10176,English,570
1,1682,18214,English,582
1,5458,14477,English,603
1,1430,3292,English,654
1,1085,2517,English,654
1,1488,3540,Dutch,678
1,1488,3541,English,681
1,1682,3970,Finnish,687
1,8467,23505,English,690
1,10813,28117,English,702
1,107,167,English,730
1,4044,10474,French,768
1,75,7508,English,788
1,7879,20745,French,792
1,7236,19006,English,795
1,7381,19418,English,797
1,2187,5392,English,813
1,8358,21821,French,822
1,10578,27630,French,831
1,535,1160,English,852
1,7742,21445,French,855
1,1416,3252,Dutch,855
1,7879,20746,English,855
1,121,1308,English,882
1,10070,26466,Dutch,882
1,3263,8262,French,891
1,6132,16215,English,945
1,4783,12649,English,948
1,8467,22028,French,951
1,2786,7039,English,999
1,1085,2516,Dutch,1014
1,7381,19421,French,1017
1,6538,17212,English,1041
1,10302,26993,French,1047
1,1847,4401,French,1060
1,7329,20229,English,1065
1,1430,3293,Dutch,1071
1,7742,21450,English,1074
1,10070,26463,English,1080
1,2786,7042,Finnish,1110
1,10813,28118,Dutch,1155
1,10151,26648,Dutch,1158
1,10302,26984,English,1176
1,1090,2527,English,1191
1,11012,28756,French,1305
1,1416,3479,English,1332
1,1416,3755,French,1389
1,11012,28926,English,1401
1,7329,20241,Dutch,1503
1,5016,13216,English,1641
1,1087,2520,English,1659
1,7329,20242,French,1665
1,8358,21820,English,1698
1,8881,23098,English,1809
1,8881,24151,French,1853
1,1087,2705,French,1884
