author_id,doc_id,lang,count
1626,3875,Finnish,177
1416,3253,Finnish,198
121,196,Finnish,220
124,206,Spanish,224
6132,16197,Finnish,228
10439,28182,Finnish,228
124,935,Finnish,248
1626,3876,German,309
9147,23944,Spanish,327
1867,4786,Spanish,436
6132,17042,Spanish,468
6538,17211,Dutch,492
1416,3489,German,552
6903,18265,Spanish,621
5694,28538,German,672
4941,13661,Spanish,684
1078,2502,German,714
1103,2549,German,726
7381,19418,English,797
4941,12991,English,831
6903,18259,English,841
1416,3252,Dutch,855
10439,28199,Dutch,870
121,1308,English,882
10070,26466,Dutch,882
5929,15680,Finnish,893
5694,27883,English,897
6132,16215,English,945
2786,7039,English,999
4434,11558,German,1014
7381,19421,French,1017
6538,17212,English,1041
10302,26993,French,1047
7329,20229,English,1065
10070,26463,English,1080
2786,7042,Finnish,1110
1867,4472,English,1140
8978,23478,German,1153
8978,23471,English,1165
10302,26984,English,1176
1103,2548,French,1185
1416,3479,English,1332
1416,3755,French,1389
1078,2506,English,1395
4434,11560,Dutch,1467
5929,15683,French,1485
7329,20241,Dutch,1503
1087,2520,English,1659
7329,20242,French,1665
8881,23098,English,1809
8881,24151,French,1853
1087,2705,French,1884
9147,23942,French,2166
