author_id,doc_id,lang,count
2295,5721,French,336
1579,3777,French,357
10582,27668,French,378
1579,20277,English,390
2295,5720,English,393
10582,27664,English,414
9336,24550,French,417
53,74,French,422
9712,25594,English,423
6238,17202,French,426
9336,24554,English,426
1472,3391,English,426
10259,26876,English,432
10259,27795,French,432
6238,16376,English,435
53,12641,English,444
1472,3405,French,462
2553,6735,French,498
9712,25597,French,537
2553,6734,English,546
3385,8634,French,63
2331,5797,English,72
3385,8633,English,690
2331,5798,French,1419
